,Date,Births,Moon
253,September 10 2000,8552,Not Full
254,September 11 2000,12405,Not Full
255,September 12 2000,13649,Not Full
256,September 13 2000,13299,Full
257,September 14 2000,13739,Not Full
258,September 15 2000,13552,Not Full
259,September 16 2000,9780,Not Full
260,September 17 2000,8683,Not Full
261,September 18 2000,12554,Not Full
262,September 19 2000,13850,Not Full
263,September 20 2000,13775,Not Full
264,September 21 2000,13350,Not Full
265,September 22 2000,13189,Not Full
266,September 23 2000,9494,Not Full
267,September 24 2000,8539,Not Full
268,September 25 2000,12432,Not Full
269,September 26 2000,13540,Not Full
270,September 27 2000,13467,Not Full
271,September 28 2000,13515,Not Full
272,September 29 2000,13045,Not Full
273,September 30 2000,9335,Not Full
274,October 1 2000,8453,Not Full
275,October 2 2000,12223,Not Full
276,October 3 2000,13245,Not Full
277,October 4 2000,13154,Not Full
278,October 5 2000,13288,Not Full
279,October 6 2000,12774,Not Full
280,October 7 2000,9131,Not Full
281,October 8 2000,8119,Not Full
282,October 9 2000,11343,Not Full
283,October 10 2000,13124,Not Full
284,October 11 2000,12907,Not Full
285,October 12 2000,13038,Not Full
286,October 13 2000,11723,Full
287,October 14 2000,9163,Not Full
288,October 15 2000,8156,Not Full
289,October 16 2000,12001,Not Full
290,October 17 2000,13106,Not Full
291,October 18 2000,12816,Not Full
292,October 19 2000,12502,Not Full
293,October 20 2000,12471,Not Full
294,October 21 2000,8956,Not Full
295,October 22 2000,7938,Not Full
296,October 23 2000,11810,Not Full
297,October 24 2000,12995,Not Full
298,October 25 2000,12780,Not Full
299,October 26 2000,12787,Not Full
300,October 27 2000,12333,Not Full
301,October 28 2000,8978,Not Full
302,October 29 2000,8124,Not Full
303,October 30 2000,11558,Not Full
304,October 31 2000,11372,Not Full
305,November 1 2000,12927,Not Full
306,November 2 2000,13066,Not Full
307,November 3 2000,12630,Not Full
308,November 4 2000,9084,Not Full
309,November 5 2000,8078,Not Full
310,November 6 2000,11862,Not Full
311,November 7 2000,12822,Not Full
312,November 8 2000,12829,Not Full
313,November 9 2000,12778,Not Full
314,November 10 2000,12554,Not Full
315,November 11 2000,9318,Full
316,November 12 2000,8070,Not Full
317,November 13 2000,11480,Not Full
318,November 14 2000,13153,Not Full
319,November 15 2000,12953,Not Full
320,November 16 2000,13061,Not Full
321,November 17 2000,12888,Not Full
322,November 18 2000,9137,Not Full
323,November 19 2000,8077,Not Full
324,November 20 2000,12974,Not Full
325,November 21 2000,13991,Not Full
326,November 22 2000,12420,Not Full
327,November 23 2000,8144,Not Full
328,November 24 2000,9805,Not Full
329,November 25 2000,8537,Not Full
330,November 26 2000,7950,Not Full
331,November 27 2000,12175,Not Full
332,November 28 2000,13799,Not Full
333,November 29 2000,13114,Not Full
334,November 30 2000,12818,Not Full
335,December 1 2000,12545,Not Full
336,December 2 2000,8914,Not Full
337,December 3 2000,7930,Not Full
338,December 4 2000,11501,Not Full
339,December 5 2000,12997,Not Full
340,December 6 2000,12697,Not Full
341,December 7 2000,12820,Not Full
342,December 8 2000,12548,Not Full
343,December 9 2000,8853,Not Full
344,December 10 2000,8022,Not Full
345,December 11 2000,11811,Full
346,December 12 2000,13627,Not Full
347,December 13 2000,12567,Not Full
348,December 14 2000,12640,Not Full
349,December 15 2000,12656,Not Full
350,December 16 2000,9184,Not Full
351,December 17 2000,8026,Not Full
352,December 18 2000,12590,Not Full
353,December 19 2000,13829,Not Full
354,December 20 2000,13762,Not Full
355,December 21 2000,13524,Not Full
356,December 22 2000,12248,Not Full
357,December 23 2000,8484,Not Full
358,December 24 2000,6971,Not Full
359,December 25 2000,6719,Not Full
360,December 26 2000,10395,Not Full
361,December 27 2000,13252,Not Full
362,December 28 2000,13900,Not Full
363,December 29 2000,13607,Not Full
364,December 30 2000,9405,Not Full
365,December 31 2000,7892,Not Full
366,January 1 2001,7663,Not Full
367,January 2 2001,10635,Not Full
368,January 3 2001,12449,Not Full
369,January 4 2001,12678,Not Full
370,January 5 2001,12647,Not Full
371,January 6 2001,9180,Not Full
372,January 7 2001,7883,Not Full
373,January 8 2001,11447,Not Full
374,January 9 2001,12386,Full
375,January 10 2001,12455,Not Full
376,January 11 2001,12433,Not Full
377,January 12 2001,12735,Not Full
378,January 13 2001,8836,Not Full
379,January 14 2001,7818,Not Full
380,January 15 2001,10926,Not Full
381,January 16 2001,12327,Not Full
382,January 17 2001,12344,Not Full
383,January 18 2001,12648,Not Full
384,January 19 2001,12339,Not Full
385,January 20 2001,8771,Not Full
386,January 21 2001,7850,Not Full
387,January 22 2001,11444,Not Full
388,January 23 2001,12446,Not Full
